date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:18:37	4481/4481	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2014:48:25%20GMT	https://www.diamondexch6.com/Login	D:/exch/www.diamondexch6.com/Login.html	(from )
20:18:38	917/917	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2014:48:26%20GMT	https://www.diamondexch6.com/robots.txt		(from )
20:18:39	3756/3756	---M--	200	added ('OK')	image/png	etag:%22052ca6cd267d61:0%22	https://www.diamondexch6.com/images/favicon.png	D:/exch/www.diamondexch6.com/images/favicon.png	(from https://www.diamondexch6.com/Login)
20:18:41	36599/36599	---MCZ	200	added ('OK')	text/css	etag:W/%22d1acb8ad33b1526acbfd3f0028b859b0%22	https://use.fontawesome.com/releases/v5.0.10/css/all.css	D:/exch/use.fontawesome.com/releases/v5.0.10/css/all.css	(from https://www.diamondexch6.com/Login)
20:18:42	1344/1344	---M--	200	added ('OK')	application/javascript	etag:%2206027287e9d61:0%22	https://www.diamondexch6.com/js/browserdetect.js	D:/exch/www.diamondexch6.com/js/browserdetect.js	(from https://www.diamondexch6.com/Login)
20:18:42	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	D:/exch/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://www.diamondexch6.com/Login)
20:18:43	5153/5153	---M--	200	added ('OK')	image/png	etag:%2201dee9e174dd61:0%22	https://www.diamondexch6.com/images/logo.png	D:/exch/www.diamondexch6.com/images/logo.png	(from https://www.diamondexch6.com/Login)
20:18:45	306273/306273	---M--	200	added ('OK')	text/css	etag:%220736dd0468d61:0%22	https://www.diamondexch6.com/css/all.css?ver=2.1	D:/exch/www.diamondexch6.com/css/all53cf.css	(from https://www.diamondexch6.com/Login)
20:18:45	933/933	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2014:48:34%20GMT	https://www.diamondexch6.com/css/arrow-black.svg	D:/exch/www.diamondexch6.com/css/arrow-black.html	(from https://www.diamondexch6.com/css/all.css?ver=2.1)
20:18:46	935/935	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2014:48:34%20GMT	https://www.diamondexch6.com/css/mCSB_buttons.png	D:/exch/www.diamondexch6.com/css/mCSB_buttons.html	(from https://www.diamondexch6.com/css/all.css?ver=2.1)
20:19:00	1849982/1849982	---M--	200	added ('OK')	application/vnd.android.package-archive	etag:%220d29ac76475d61:0%22	https://www.diamondexch6.com/app-diamond-release.apk	D:/exch/www.diamondexch6.com/app-diamond-release.apk	(from https://www.diamondexch6.com/Login)
